ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
net.sf.hibernate.collection.IdentifierBag.listIterator,0,0,0,0,0,0,0,0,0,1.715
net.sf.hibernate.mapping.RootClass.setIdentifier,0,0,0,0,0,0,0,0,0,2.52
net.sf.hibernate.id.CounterGenerator.generate,0,0,0,0,0,0,0,0,0,1.9
net.sf.hibernate.collection.SortedSubMap.keySet,0,0,0,0,0,0,0,0,0,0.0
net.sf.hibernate.impl.CollectionKey.readObject,0,0,0,0,0,0,0,0,0,0.345
net.sf.hibernate.expression.LtPropertyExpression.LtPropertyExpression,0,0,0,0,0,0,0,0,0,3.4233333333333333
net.sf.hibernate.type.DynamicComponentType.getColumnSpan,0,0,0,0,0,0,0,0,0,1.3752258200398058
net.sf.hibernate.cfg.Binder.handleSubclass,0,0,0,0,0,0,0,0,0,1.6575000000000002
org.hibernate.test.Bar.getObject,0,0,0,0,0,0,0,0,0,2.9712571546374815
net.sf.hibernate.util.StringHelper.add,0,0,0,0,0,0,0,0,0,0.5700000000000001
net.sf.hibernate.persister.AbstractEntityPersister.getPropertyCascadeStyles,0,0,0,1,0,0,0,0,0,1.5678632904744527
net.sf.hibernate.mapping.RootClass.setPolymorphic,0,0,0,0,0,0,0,0,0,2.43
net.sf.hibernate.collection.PersistentCollection.snapshot,0,0,0,0,0,0,0,0,0,0.0
net.sf.hibernate.mapping.RootClass.addSubclass,0,0,0,0,0,0,0,0,0,2.1
net.sf.hibernate.xml.XMLDatabinder.getOutputStyleSheetTemplates,0,0,0,0,0,0,0,0,0,2.039833676102339
org.hibernate.test.ParentChildTest.testParentNullChild,0,0,0,0,0,0,0,0,0,0.0
net.sf.hibernate.mapping.Column.setCheckConstraint,0,0,0,0,0,0,0,0,0,3.5200000000000005
net.sf.hibernate.mapping.PersistentClass.validate,0,0,0,0,0,0,0,0,0,1.4866666666666666
net.sf.hibernate.ScrollMode.toResultSetType,0,0,0,0,0,0,0,0,0,2.8997211970141312
net.sf.hibernate.dialect.NoArgSQLFunction.NoArgSQLFunction,0,0,0,0,0,0,0,0,0,2.6093333333333333
net.sf.hibernate.cache.ReadWriteCache.handleLockExpiry,0,0,0,0,0,0,0,0,0,2.9648699781003938
net.sf.hibernate.persister.AbstractEntityPersister.selectFragment,0,0,0,0,0,0,0,0,0,2.3118735469521403
org.hibernate.test.Baz.getComponents,0,0,0,0,0,0,0,0,0,0.0
net.sf.hibernate.persister.NormalizedEntityPersister.getTableUpdateNeeded,0,0,0,0,0,0,0,0,0,1.9363210144956875
net.sf.hibernate.util.PropertiesHelper.getBoolean,0,0,0,0,0,0,0,0,0,2.095
net.sf.hibernate.expression.AbstractCriterion.getTypedValue,0,0,0,0,0,0,0,0,0,3.1060000000000003
net.sf.hibernate.impl.CollectionEntry.setLoadedPersister,0,0,0,0,0,0,0,0,0,0.8896797830293046
net.sf.hibernate.dialect.DB2Dialect.getLimitString,0,0,0,0,0,0,0,0,0,1.5493203699857077
