ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
net.datacrow.util.StringUtils.toPlainText,0,0,0,0,0,0,0,0,0,1.894122518801523,187
net.datacrow.util.Utilities.isEmpty,0,0,0,0,0,0,0,0,0,1.715,7
net.datacrow.console.windows.resourceeditor.CreateLanguageDialog.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,4
net.datacrow.console.ComponentFactory.getLanguageCombobox,0,0,0,0,0,0,0,0,0,0.0,4
net.datacrow.console.windows.ItemSynchronizerDialog.updateProgressBar,0,0,0,0,0,0,0,0,0,2.401466904192166,2
net.datacrow.core.wf.requests.ImageRequest.execute,1,0,0,0,0,0,0,0,0,1.3051875,15
net.datacrow.core.Platform.isLinux,0,0,0,0,0,0,0,0,0,0.6528199321242552,1
net.datacrow.console.windows.settings.InformationPanel.setImage,0,0,0,0,0,0,0,0,0,3.8075,3
net.datacrow.core.objects.helpers.Container.loadChildren,0,0,0,0,0,0,0,0,0,0.8028173216917245,9
net.datacrow.filerenamer.FilePattern.getParts,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.core.modules.xml.XmlObject.getClass,0,0,0,0,0,0,0,0,0,1.931435544634605,10
net.datacrow.util.Hash.setHashType,0,0,0,0,0,0,0,0,0,2.4979032781626858,3
net.datacrow.core.resources.DcResources.getLanguages,0,0,0,0,0,0,0,0,0,0.0,9
net.datacrow.console.components.lists.DcListUI.getMaxColumnsPerRow,0,0,0,0,0,0,0,0,0,2.2851713284276203,22
net.datacrow.console.components.DcFieldSelectorField.invertSelection,0,0,0,0,0,0,0,0,0,3.9495442415878674,3
net.datacrow.console.components.panels.QuickViewPanel.getChildTable,0,0,0,0,0,0,0,0,0,2.754493470156463,23
net.datacrow.console.windows.security.ModulePermissionPanel.setSelected,0,0,0,0,0,0,0,0,0,2.78442924861645,3
net.datacrow.core.services.SearchTask.getItems,0,0,0,0,0,0,0,0,0,2.8266666666666667,2
net.datacrow.core.objects.DcObject.isEndOfBatch,0,0,0,0,0,0,0,0,0,1.8861080869741413,1
net.datacrow.core.db.DatabaseManager.update,0,0,0,0,0,0,0,0,0,1.7936696782892032,27
net.datacrow.core.plugin.Plugin.getViewIdx,0,0,0,0,0,0,0,0,0,1.394426770890524,1
net.datacrow.enhancers.TitleRewriter.getWordList,0,0,0,0,0,0,0,0,0,3.3824147279755348,1
net.datacrow.console.windows.SelectExpienceLevelDialog.build,0,0,0,0,0,0,0,0,0,2.8622401599520533,14
net.datacrow.core.wf.requests.Requests.clear,0,0,0,0,0,0,0,0,0,0.0,4
net.datacrow.console.windows.settings.TableViewSettingsDialog.build,0,0,0,0,0,0,0,0,0,1.9588135800925512,18
net.datacrow.settings.definitions.DcFieldDefinitions.clear,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.core.objects.DcObject.reload,0,0,0,0,0,0,0,0,0,0.7225,11
net.datacrow.console.components.DecimalDocument.insertString,0,0,0,0,0,0,0,0,0,0.9977640962192947,14
net.datacrow.core.web.model.DcWebModule.setIndex,0,0,0,0,0,0,0,0,0,3.43,1
net.datacrow.drivemanager.DriveManager.exclude,0,0,0,0,0,0,0,0,0,1.4166666666666667,3
net.datacrow.console.components.DcReferencesField.setEditable,0,0,0,0,0,0,0,0,0,0.6696229842483071,1
net.datacrow.console.views.View.loadChildren,0,0,0,0,0,0,0,0,0,2.2300980838325746,5
net.datacrow.console.windows.settings.CardViewPictureSettingsPanel.build,0,0,0,0,0,0,0,0,0,1.8793176512218785,18
net.datacrow.core.objects.DcField.isEnabled,0,0,0,0,0,0,0,0,0,0.0,13
net.datacrow.console.ComponentFactory.getContactPersonCombo,0,0,0,0,0,0,0,0,0,4.135,2
net.datacrow.console.windows.onlinesearch.OnlineServicePanel.keyTyped,0,0,0,0,0,0,0,0,0,0.0,0
net.datacrow.console.windows.MigrationDialog.initProgressBar,0,0,0,0,0,0,0,0,0,2.4435554710734815,2
net.datacrow.util.movie.FilePropertiesMPEG.getNextStartCode,0,0,0,0,1,0,0,0,0,2.4190057454664293,36
net.datacrow.core.objects.helpers.User.checkIntegrity,0,0,0,0,1,0,0,0,0,2.4299999999999997,6
net.datacrow.console.components.lists.elements.DcObjectListElement.getPanel,0,0,0,0,0,0,0,0,0,4.26,2
net.datacrow.core.http.HttpConnectionUtil.getConnection,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.console.components.panels.tree.TreePanel.collapseAll,0,0,0,0,0,0,0,0,0,3.326478098077394,6
net.datacrow.console.components.panels.tree.FileTreePanel.createLeafs,0,0,1,0,0,0,0,0,0,2.2130800717978096,42
net.datacrow.core.modules.DcModule.getFilterForm,0,0,0,0,0,0,0,0,0,2.4563904571206105,3
net.datacrow.settings.Settings.getColor,0,0,0,0,0,0,0,0,0,4.89,1
net.datacrow.console.components.lists.elements.DcFilterEntryListElement.build,0,0,0,0,0,0,0,0,0,2.970825173811127,15
net.datacrow.console.ComponentFactory.getPersonDisplayFormatComboBox,0,0,0,0,0,0,0,0,0,0.0,3
net.datacrow.console.windows.webserver.WebServerControlPanel.setMessage,0,0,0,0,0,0,0,0,0,0.42712372649066377,1
net.datacrow.console.components.DcFileField.showDirectoryOpenDialog,0,0,0,0,0,0,0,0,0,2.529552396987796,5
net.datacrow.core.db.QueryOptions.getPreciseSelect,0,0,0,0,0,0,0,0,0,1.321493307653702,1
net.datacrow.console.windows.onlinesearch.OnlineSearchForm.stop,0,0,0,0,0,0,0,0,0,1.8067943066142784,4
net.datacrow.core.modules.xml.XmlModule.hasSearchView,0,0,0,0,0,0,0,0,0,1.415355976092031,1
net.datacrow.console.components.panels.QuickViewPanel.mouseClicked,0,0,0,0,0,0,0,0,0,0.0,0
net.datacrow.core.Platform.isMac,0,0,0,0,0,0,0,0,0,0.66567636101025,1
net.datacrow.console.wizards.module.CreateModuleWizard.next,0,0,0,0,0,0,0,0,0,2.73,15
net.datacrow.core.data.CacheJob.loadLoans,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.console.ComponentFactory.getIcon,0,0,0,0,0,0,0,0,0,3.3449999999999998,1
net.datacrow.core.modules.DcModule.getSetting,0,0,0,0,0,0,0,0,0,2.445,1
net.datacrow.console.components.lists.DcObjectList.updateItemAt,0,0,0,0,0,0,0,0,0,2.6939925821261057,4
net.datacrow.settings.definitions.WebFieldDefinitions.get,0,0,0,0,0,0,0,0,0,2.13,5
net.datacrow.core.web.beans.ItemDetails.afterCreate,0,0,0,0,0,0,0,0,0,0.0,2
net.datacrow.console.components.lists.DcListUI.convertRowToY,0,0,0,0,0,0,0,0,0,3.93,1
net.datacrow.console.windows.enhancers.AutoIncrementDialog.save,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.core.objects.DcTemplate.checkIntegrity,0,0,0,0,0,0,0,0,0,2.79,2
net.datacrow.core.web.model.DcWebObject.switchToPicTab,0,0,0,0,0,0,0,0,0,2.766159598160463,2
net.datacrow.core.objects.DcObject.unloadImages,0,0,0,0,0,0,0,0,0,4.52,7
net.datacrow.core.web.model.DcWebUser.setUsername,0,0,0,0,0,0,0,0,0,4.04,1
net.datacrow.core.ImageStore.exists,0,0,0,0,0,0,0,0,0,1.925,5
net.datacrow.console.windows.reporting.ReportingDialog.showResults,0,0,0,0,0,0,0,0,0,2.8116831176253347,8
net.datacrow.console.windows.drivemanager.DriveManagerDialog.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,2
net.datacrow.console.components.DcRatingComboBox.getValue,0,0,0,0,0,0,0,0,0,3.43,1
net.datacrow.console.components.panels.tree.TreePanel.setDefaultSelection,0,0,0,0,0,0,0,0,0,3.396573207319177,6
net.datacrow.filerenamer.FilePatternPart.setPrefix,0,0,0,0,0,0,0,0,0,3.31,1
net.datacrow.filerenamer.FilePattern.getField,0,0,0,0,0,0,0,0,0,2.796666666666667,9
net.datacrow.console.views.CachedChildView.removeChildren,0,0,0,0,0,0,0,0,0,2.4120493951245585,2
net.datacrow.console.windows.onlinesearch.OnlineSearchForm.addMessage,0,0,0,0,0,0,0,0,0,2.8773646921782903,2
net.datacrow.core.web.model.DcWebModule.getIcon16,0,0,0,0,0,0,0,0,0,3.326347337512813,1
net.datacrow.console.windows.resourceeditor.CreateLanguageDialog.save,0,0,0,0,0,0,0,0,0,1.1678009887189273,11
net.datacrow.console.components.panels.ModuleListPanel.buildPanel,0,0,0,0,0,0,0,0,0,3.4996189292414948,9
net.datacrow.util.freedb.Freedb.queryDiscId,0,0,0,0,0,0,0,0,0,2.3933333333333335,1
net.datacrow.console.components.fstree.FileSystemTreeNodeEditor.isCellEditable,0,0,0,0,0,0,0,0,0,2.69,1
net.datacrow.console.windows.ItemSynchronizerDialog.buildDialog,0,0,0,0,0,0,0,0,0,2.1758262137958857,46
net.datacrow.core.services.OnlineServices.getUI,0,0,0,0,0,0,0,0,0,1.8666666666666665,1
net.datacrow.console.components.lists.DcList.getFirstIndexOnLastVisibleRow,0,0,0,0,0,0,0,0,0,0.77,1
net.datacrow.console.components.panels.OnlineServiceSettingsPanel.build,0,0,0,0,0,0,0,0,0,2.2823697608014206,34
net.datacrow.core.data.DataFilterEntry.getAndOr,0,0,0,0,0,0,0,0,0,1.272263686676528,1
net.datacrow.core.modules.xml.XmlModule.getLabel,0,0,0,0,0,0,0,0,0,2.958274932575998,1
net.datacrow.console.components.tables.DcTable.getRowNumberWithID,0,0,0,0,0,0,0,0,0,1.195,6
net.datacrow.console.windows.messageboxes.SaveQuestionBox.close,0,0,0,0,0,0,0,0,0,3.4122800745944373,5
net.datacrow.console.components.fstree.FileSystemTreeNode.getName,0,0,0,0,0,0,0,0,0,3.63232176400047,1
net.datacrow.util.movie.FileProperties.setLanguage,0,0,0,0,0,0,0,0,0,2.35,1
net.datacrow.console.windows.BackupDialog.sendMessage,0,0,0,0,0,0,0,0,0,3.869304233318066,2
net.datacrow.settings.DcSettings.getDimension,0,0,0,0,0,0,0,0,0,3.1072247365903793,1
net.datacrow.console.components.DcImageLabel.getIcon,0,0,0,0,0,0,0,0,0,3.317282463434457,1
net.datacrow.console.windows.enhancers.Renumberer.run,0,0,0,0,0,0,0,0,0,1.8173295804462102,15
net.datacrow.console.views.View.getSelectedRows,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.core.web.model.DcWebObject.current,0,0,0,0,0,0,0,0,0,2.1398205822324274,3
net.datacrow.settings.definitions.DcFieldDefinitions.checkDependencies,0,0,0,0,0,0,0,0,0,0.8824690194952323,17
net.datacrow.console.components.tables.DcTable.resetTable,0,0,0,0,0,0,0,0,0,2.2435463012137866,4
net.datacrow.util.freedb.Freedb.getCategories,0,0,0,0,0,0,0,0,0,2.63,5
net.datacrow.console.windows.onlinesearch.ProgressDialog.update,0,0,0,0,0,0,0,0,0,2.8291266427772874,2
net.datacrow.core.web.DcWebServer.getInstance,0,0,0,0,0,0,0,0,0,1.910467712798904,1
net.datacrow.core.plugin.RegisteredPlugin.getClazz,0,0,0,0,0,0,0,0,0,0.0,1
net.datacrow.core.ModuleUpgrade.removeDuplicates,1,0,0,0,0,0,0,0,0,0.8425,12
net.datacrow.console.components.PicturePane.windowIconified,0,0,0,0,0,0,0,0,0,0.0,0
net.datacrow.console.windows.ItemSynchronizerDialog.getSearchMode,0,0,0,0,0,0,0,0,0,3.2605627027783863,1
net.datacrow.console.menu.FieldTreePanelMenuBar.hideGroupBy,0,0,0,0,0,0,0,0,0,1.9551626452313629,1
