ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
jmencode.LNFSetter.createLNFSwitcher,0,0,0,0,0,0,0,0,0,1.3906940398340573,16
jmencode.SettingsForm.getmp4boxpathButtonActionPerformed,0,0,0,0,0,0,0,0,0,1.625,8
jmencode.MainGUI.previewVideoButtonActionPerformed,0,0,0,0,1,0,0,0,0,0.0,1
jmencode.MainGUI.mouseReleased,0,0,0,0,0,0,0,0,0,0.9689374748761386,1
jmencode.MainGUI.createIcon,0,0,0,0,0,0,0,0,0,2.3666666666666667,5
jmencode.MplayerController.actionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.MainGUI.fittoCDButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,8
jmencode.MainGUI.updatefromArgsField,0,0,0,0,0,0,0,0,0,1.4232653659622265,1
jmencode.ImgPreviewPanel.formMousePressed,0,0,0,0,0,0,0,0,0,0.8650953465954165,2
jmencode.MainGUI.cancelButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.Subtrack.main,0,0,0,0,0,0,0,0,0,1.195,0
jmencode.Subtrack.getaudFormat,0,0,0,0,0,0,0,0,0,0.365,4
jmencode.ImgPreviewPanel.formMouseReleased,0,0,0,0,0,0,0,0,0,1.0044131779869712,11
jmencode.MainGUI.rescaleOptionsButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.MainGUI.fittoSizeComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0,19
jmencode.MainGUI.confirmokButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.8255694685275323,2
jmencode.MuxerForm.updateCommand,1,0,0,0,0,0,0,0,0,0.6534361008459085,9
jmencode.ImgPreviewPanel.getPixelCoords,0,0,0,0,0,0,0,0,0,0.36737252382098934,10
jmencode.MainGUI.autoScaleButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,7
jmencode.MuxerForm.muxaudioinputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0,3
jmencode.MainGUI.starttimeSpinnerStateChanged,0,0,0,0,0,0,0,0,0,1.17,4
jmencode.MainGUI.makePreviewClip,1,0,0,0,0,0,0,0,0,0.8403244907665404,2
jmencode.ImgPreviewPanel.formMouseMoved,0,0,0,0,0,0,0,0,0,0.0,0
jmencode.MuxerForm.goMuxButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.MainGUI.cropCheckBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.MuxerForm.audinputButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.5844128423438233,6
jmencode.SplashWindow.mouseClicked,0,0,0,0,0,0,0,0,0,0.0,4
jmencode.Settings.nextlowerMod16,0,0,0,0,0,0,0,0,0,0.0,4
jmencode.MplayerController.fastButtonActionPerformed,1,1,0,0,0,0,0,0,0,0.62,2
jmencode.ImgPreviewPanel.formAncestorResized,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.MainGUI.setDiscInputButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,9
jmencode.MplayerParser.parseEncoderProgress,0,0,0,0,0,0,0,0,0,2.5943604638117,12
jmencode.ExecProgram.Execute,2,3,0,0,3,0,0,0,0,1.3774349229751877,14
jmencode.ExecProgram.Stop,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.MuxerForm.getsubtitlefileButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.5954000902151024,6
jmencode.MainGUI.cropfaileddialogOKActionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.MainGUI.noframesComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.MainGUI.audtracknumFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0,3
jmencode.MplayerController.stopButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.MainGUI.aspectratiofieldActionPerformed,0,0,0,0,0,0,0,0,0,2.205,20
jmencode.MplayerController.run,0,0,0,0,0,0,0,0,0,1.94147052322213,15
jmencode.ThreadVar.clear,0,0,0,0,0,0,0,0,0,4.83,1
jmencode.MainGUI.setLNFMenuItemActionPerformed,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.MplayerController.finished,0,0,0,0,0,0,0,0,0,3.716213529910523,0
jmencode.ThreadVar.setValue,0,0,0,0,0,0,0,0,0,0.0,1
jmencode.ExecProgram.run,0,0,0,0,0,0,0,0,0,1.789145665589102,28
jmencode.MuxerForm.containertypeComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0,3
jmencode.ImgPreviewPanel.getPixelPanelScale,0,0,0,0,0,0,0,0,0,2.1908246321975775,9
jmencode.MainGUI.volgainComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0,2
jmencode.MainGUI.keyReleased,0,0,0,0,0,0,0,0,0,0.0,1
