ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
net.sf.jasperreports.engine.design.JRDesignDatasetRun.addParameter,0,0,0,0,0,0,0,0,0,2.0055010658212544
net.sf.jasperreports.engine.xml.JRXmlWriter.JRXmlWriter,0,0,0,0,0,0,0,0,0,1.96
net.sf.jasperreports.engine.design.events.CollectionListenerAdapter.getListener,0,0,0,0,0,0,0,0,0,3.0696104148447847
net.sf.jasperreports.engine.fill.JRFillDataset.setFields,0,0,0,0,0,0,0,0,0,1.6711135763085432
net.sf.jasperreports.olap.xmla.JRXmlaMemberTuple.setMember,0,0,0,0,0,0,0,0,0,2.1666666666666665
net.sf.jasperreports.engine.JRImageRenderer.render,0,0,0,0,0,0,0,0,0,0.0
net.sf.jasperreports.engine.design.JRDesignChart.setHyperlinkAnchorExpression,0,0,0,0,0,0,0,0,0,3.25
net.sf.jasperreports.engine.fill.JRFillVariable.isSystemDefined,0,0,0,0,0,0,0,0,0,3.2476241591086485
net.sf.jasperreports.engine.design.JRDefaultCompilationSourceCode.getExpressionAtLine,0,0,0,0,0,0,0,0,0,3.228977573193073
net.sf.jasperreports.engine.design.JRValidationFault.setSource,0,0,0,0,0,0,0,0,0,2.96
net.sf.jasperreports.engine.fill.JRTemplatePrintElement.setHeight,0,0,0,0,0,0,0,0,0,3.86
net.sf.jasperreports.engine.xml.JRXmlWriter.writeMeterChart,0,0,0,0,0,0,0,0,0,2.2315977627036534
net.sf.jasperreports.engine.fill.BoxContents.hashCode,0,0,0,0,0,0,0,0,0,3.029800755779296
net.sf.jasperreports.charts.base.JRBaseBubblePlot.getXAxisTickLabelMask,0,0,0,0,0,0,0,0,0,2.56272455524212
net.sf.jasperreports.engine.fill.JRFillTextElement.setVerticalAlignment,0,0,0,0,0,0,0,0,0,3.37
net.sf.jasperreports.engine.fill.JRFillElement.getPositionType,0,0,0,0,0,0,0,0,0,3.2190818945453405
net.sf.jasperreports.engine.design.JRVerifier.verifyImage,0,0,0,0,0,0,0,0,0,3.333446258394217
net.sf.jasperreports.charts.fill.JRFillBar3DPlot.JRFillBar3DPlot,0,0,0,0,0,0,0,0,0,3.453164847008818
net.sf.jasperreports.engine.JRPrintImageArea.createAWTRectangle,0,0,0,0,0,0,0,0,0,0.0
net.sf.jasperreports.engine.fill.CrosstabFiller.computeCounts,0,0,0,0,0,0,0,0,0,1.1616666666666668
net.sf.jasperreports.engine.fill.JRDefaultNothingIncrementer.getInstance,0,0,0,0,0,0,0,0,0,2.007350419967674
net.sf.jasperreports.charts.fill.JRFillBarPlot.setShowTickMarks,0,0,0,0,0,0,0,0,0,2.5325
net.sf.jasperreports.crosstabs.fill.calculation.BucketingService.initMeasureValues,0,0,0,0,2,0,0,0,0,0.8975
net.sf.jasperreports.engine.base.JRBaseLineBox.getOwnLeftPadding,0,0,0,0,0,0,0,0,0,2.7193020759830633
net.sf.jasperreports.engine.base.JRBaseStyle.setBackcolor,0,0,0,0,0,0,0,0,0,1.2810148002273547
net.sf.jasperreports.engine.base.JRBasePrintText.getHyperlinkReference,0,0,0,0,0,0,0,0,0,1.9464994093218042
net.sf.jasperreports.engine.util.JRStyleResolver.getRadius,0,0,0,0,0,0,0,0,0,3.4899999999999993
net.sf.jasperreports.engine.base.JRBaseReport.isSummaryNewPage,0,0,0,0,0,0,0,0,0,1.9820744190353434
net.sf.jasperreports.olap.xmla.JRXmlaMember.getUniqueName,0,0,0,0,0,0,0,0,0,2.2338193001617235
net.sf.jasperreports.engine.fill.JRTemplateText.getBottomPadding,0,0,0,0,0,0,0,0,0,2.605447555320179
net.sf.jasperreports.engine.base.JRBaseChart.getRightBorder,0,0,0,0,0,0,0,0,0,2.6813686973416813
net.sf.jasperreports.engine.base.JRBaseChartDataset.JRBaseChartDataset,0,0,0,0,0,0,0,0,0,4.08
net.sf.jasperreports.charts.fill.JRFillAreaPlot.getOwnCategoryAxisLabelColor,0,0,0,0,0,0,0,0,0,2.875889685235237
net.sf.jasperreports.engine.fill.StretchedContents.setY,0,0,0,0,0,0,0,0,0,0.0
net.sf.jasperreports.engine.fill.JRFillImage.getJRTemplateImage,0,0,0,0,0,0,0,0,0,3.43
net.sf.jasperreports.engine.fill.JRFillFrame.stretchHeightFinal,0,0,0,0,0,0,0,0,0,3.2666103386290954
net.sf.jasperreports.engine.fill.ReportFiller.notifyFinish,0,0,0,0,0,0,0,0,0,2.5433333333333334
net.sf.jasperreports.olap.mapping.MappingParser.tuplePosition,0,0,0,0,0,0,0,0,0,1.2282171465958558
net.sf.jasperreports.engine.data.JRCsvDataSourceProvider.getRecordDelimiter,0,0,0,0,0,0,0,0,0,1.5074843766640087
