ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
jmencode.MplayerController.seekto,1,1,0,0,1,0,0,0,0,1.29
jmencode.SplashWindow.SplashWindow,0,0,0,0,0,0,0,0,0,2.722350585274886
jmencode.MainGUI.bitratecalcMenuItemActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.resizeCheckBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.LNFSetter.createLNFSwitcher,0,0,0,0,0,0,0,0,0,1.3906940398340573
jmencode.SettingsForm.getmp4boxpathButtonActionPerformed,0,0,0,0,0,0,0,0,0,1.625
jmencode.MainGUI.previewVideoButtonActionPerformed,0,0,0,0,1,0,0,0,0,0.0
jmencode.MainGUI.mouseReleased,0,0,0,0,0,0,0,0,0,0.9689374748761386
jmencode.MainGUI.createIcon,0,0,0,0,0,0,0,0,0,2.3666666666666667
jmencode.MplayerController.actionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.fittoCDButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.RescaleOptionsForm.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.updatefromArgsField,0,0,0,0,0,0,0,0,0,1.4232653659622265
jmencode.ImgPreviewPanel.formMousePressed,0,0,0,0,0,0,0,0,0,0.8650953465954165
jmencode.MainGUI.cancelButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.Subtrack.main,0,0,0,0,0,0,0,0,0,1.195
jmencode.Subtrack.getaudFormat,0,0,0,0,0,0,0,0,0,0.365
jmencode.ImgPreviewPanel.formMouseReleased,0,0,0,0,0,0,0,0,0,1.0044131779869712
jmencode.MainGUI.rescaleOptionsButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.doMuxing,0,0,0,0,0,0,0,0,0,2.75864305437383
jmencode.MainGUI.fittoSizeComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.confirmokButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.8255694685275323
jmencode.MuxerForm.updateCommand,1,0,0,0,0,0,0,0,0,0.6534361008459085
jmencode.ImgPreviewPanel.getPixelCoords,0,0,0,0,0,0,0,0,0,0.36737252382098934
jmencode.MainGUI.MainGUI,0,0,0,0,0,0,0,0,0,1.396785872437115
jmencode.MainGUI.autoScaleButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.muxaudioinputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.starttimeSpinnerStateChanged,0,0,0,0,0,0,0,0,0,1.17
jmencode.MainGUI.makePreviewClip,1,0,0,0,0,0,0,0,0,0.8403244907665404
jmencode.Audiotrack.Audiotrack,0,0,0,0,0,0,0,0,0,2.0
jmencode.ImgPreviewPanel.formMouseMoved,0,0,0,0,0,0,0,0,0,0.0
jmencode.LogPanel.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.goMuxButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.BitrateCalcForm.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.cropCheckBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.audinputButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.5844128423438233
jmencode.SplashWindow.mouseClicked,0,0,0,0,0,0,0,0,0,0.0
jmencode.PreviewSetupForm.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.Settings.nextlowerMod16,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.extractAudio,3,0,0,0,0,0,0,0,0,1.4751456355898185
jmencode.MplayerController.fastButtonActionPerformed,1,1,0,0,0,0,0,0,0,0.62
jmencode.RescaleOptionsForm.RescaleOptionsForm,0,0,0,0,0,0,0,0,0,2.28
jmencode.ImgPreviewPanel.formAncestorResized,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.setDiscInputButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerParser.parseEncoderProgress,0,0,0,0,0,0,0,0,0,2.5943604638117
jmencode.ExecProgram.Execute,2,3,0,0,3,0,0,0,0,1.3774349229751877
jmencode.ExecProgram.Stop,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.getsubtitlefileButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.5954000902151024
jmencode.MainGUI.cropfaileddialogOKActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.noframesComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.audtracknumFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerController.stopButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.aspectratiofieldActionPerformed,0,0,0,0,0,0,0,0,0,2.205
jmencode.MplayerController.run,0,0,0,0,0,0,0,0,0,1.94147052322213
jmencode.ThreadVar.clear,0,0,0,0,0,0,0,0,0,4.83
jmencode.MainGUI.setLNFMenuItemActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerController.finished,0,0,0,0,0,0,0,0,0,3.716213529910523
jmencode.MuxerForm.initComponents,0,0,0,0,0,0,0,0,0,2.944
jmencode.ThreadVar.setValue,0,0,0,0,0,0,0,0,0,0.0
jmencode.ThreadVar.ThreadVar,0,0,0,0,0,0,0,0,0,2.415
jmencode.ExecProgram.run,0,0,0,0,0,0,0,0,0,1.789145665589102
jmencode.MuxerForm.containertypeComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.ImgPreviewPanel.getPixelPanelScale,0,0,0,0,0,0,0,0,0,2.1908246321975775
jmencode.MainGUI.volgainComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.keyReleased,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.crophSpinnerStateChanged,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.ScaleHeightSpinnerStateChanged,0,0,0,0,0,0,0,0,0,0.0
jmencode.RescaleOptionsForm.actionPerformed,0,0,0,0,0,0,0,0,0,0.7535517379518932
jmencode.MainGUI.extractAudioButtonActionPerformed,3,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerController.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.onePassButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerController.pauseButtonActionPerformed,1,1,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.actionPerformed,0,0,0,0,0,0,0,0,0,0.5271517455391539
jmencode.ImgPreviewPanel.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.muxedinputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.RescaleOptionsForm.prevsetupCancelButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.ThreadVar.start,0,0,0,0,0,0,0,0,0,0.8937864843597962
jmencode.MuxerForm.chapterinputButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.5885812588052399
jmencode.Settings.nearestMod16,0,0,0,0,0,0,0,0,0,1.226
jmencode.MainGUI.containertypeComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.LogPanel.load,0,1,0,0,0,0,0,0,0,4.111085825208303
jmencode.MainGUI.initComponents,0,0,0,0,0,0,0,0,0,0.65
jmencode.MuxerForm.MuxerForm,0,0,0,0,0,0,0,0,0,1.059549308724597
jmencode.Settings.loadSettingsfromFile,0,1,1,0,0,0,0,0,0,1.657063200235161
jmencode.MainGUI.audQualityFieldStateChanged,0,0,0,0,0,0,0,0,0,0.0
jmencode.ImgPreviewPanel.ancestorResized,0,0,0,0,0,0,0,0,0,1.6475
jmencode.MplayerController.MplayerController,0,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerParser.parseCropOutput,0,0,0,0,0,0,0,0,0,3.63
jmencode.Subtrack.getAid,0,0,0,0,0,0,0,0,0,1.1400000000000001
jmencode.MainGUI.updateCommand,0,0,0,0,0,0,0,0,0,1.302348113116242
jmencode.ImgPreviewPanel.setRectfromCropSettings,0,0,0,0,1,0,0,0,0,0.9027186668099788
jmencode.MainGUI.getdiscpathFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerController.construct,0,0,0,0,0,0,0,0,0,0.9227749152499533
jmencode.ImgPreviewPanel.formMouseDragged,0,0,0,0,0,0,0,0,0,0.9239511258818031
jmencode.ExecProgram.getexitValue,0,0,0,0,0,0,0,0,0,1.3622435781001836
jmencode.Subtrack.addAudioTrack,0,0,0,0,0,0,0,0,0,1.0033333333333334
jmencode.MainGUI.setvidSlider,0,0,0,0,0,0,0,0,0,1.62
jmencode.MainGUI.twoPassButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.Settings.main,0,1,0,0,1,0,0,0,0,2.669923028033122
jmencode.MuxerForm.actionPerformed,0,0,0,0,0,0,0,0,0,0.4868176542241748
jmencode.MainGUI.MuxerMenuItemActionPerformed,0,0,0,0,0,0,0,0,0,1.4333333333333333
jmencode.MainGUI.setDiscInputButtonMouseReleased,0,0,0,0,0,0,0,0,0,0.0
jmencode.MplayerController.playMedia,0,0,0,0,0,0,0,0,0,2.5257942143352925
jmencode.MainGUI.getoutputfilebuttonActionPerformed,0,0,0,0,0,0,0,0,0,1.625
jmencode.MainGUI.cropwSpinnerStateChanged,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.segmentlengthfieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.framebackButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.audbitrateComboBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.PreviewSetupForm.prevsetupCancelButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.ImgPreviewPanel.mouseMoved,0,0,0,0,0,0,0,0,0,0.0
jmencode.Settings.nexthigherMod16,0,0,0,0,0,0,0,0,0,0.0
jmencode.VideoInfoForm.initComponents,0,0,0,0,0,0,0,0,0,3.295
jmencode.SettingsForm.savesettingsButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.jButton1ActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.openprevwindowButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.setfileInputButtonMouseReleased,0,0,0,0,0,0,0,0,0,0.6444789143010765
jmencode.RescaleOptionsForm.rescaleOptionsOKButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.bitratefieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.VideoInfoForm.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.ImgPreviewPanel.saveImage,0,0,0,0,1,0,0,0,0,1.829227673899815
jmencode.MainGUI.cropySpinnerStateChanged,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.finished,0,0,0,0,0,0,0,0,0,0.705040526730856
jmencode.MainGUI.updateCommandDisplay,0,0,0,0,0,0,0,0,0,2.2095120957301724
jmencode.Subtrack.setAudioTrack,0,0,0,0,0,0,0,0,0,0.7525000000000001
jmencode.MainGUI.scalequalityfieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.ExecProgram.createIcon,0,0,0,0,0,0,0,0,0,2.3666666666666667
jmencode.Subtrack.round,0,0,0,0,0,0,0,0,0,1.0219999999999998
jmencode.ThreadVar.run,0,0,0,0,0,0,0,0,0,1.397222594451079
jmencode.MainGUI.getdiscpathbuttonActionPerformed,0,0,0,0,0,0,0,0,0,1.625
jmencode.MplayerController.ExecuteM,2,1,0,0,3,0,0,0,0,1.185584596377613
jmencode.ImgPreviewPanel.doImageRescale,0,0,0,0,0,0,0,0,0,0.49610293141443285
jmencode.MainGUI.audcodecfieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.ImgPreviewPanel.getPrevWidth,0,0,0,0,0,0,0,0,0,1.0434074692255306
jmencode.LogPanel.initComponents,0,0,0,0,0,0,0,0,0,3.295
jmencode.MainGUI.focusLost,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.audLanguageFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.main,1,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.CancelButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.Settings.CalculateBitrate,1,0,0,0,0,0,0,0,0,1.0175
jmencode.MplayerParser.parseVideoInfo,0,0,0,0,1,0,0,0,0,2.290496005448378
jmencode.MuxerForm.subtitleinputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.GoButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.stateChanged,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.setfileInputButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.6174995541772577
jmencode.PreviewSetupForm.prevsetupOKButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.settingsMenuItemActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.subLanguagefieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.cropdetectButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.SettingsForm.main,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.ScaleWidthSpinnerStateChanged,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.doEncode,0,0,0,0,0,0,0,0,0,2.2537649751466766
jmencode.MainGUI.inputDARfieldActionPerformed,0,0,0,0,0,0,0,0,0,2.205
jmencode.MuxerForm.muxedoutputFieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.segmentlengthfieldFocusLost,0,0,0,0,0,0,0,0,0,0.0
jmencode.LNFSetter.actionPerformed,0,0,0,0,0,0,0,0,0,2.3299033998451533
jmencode.MainGUI.getinputfilebuttonActionPerformed,0,0,0,0,0,0,0,0,0,1.625
jmencode.MuxerForm.getvidinputButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.5854292954976966
jmencode.ImgPreviewPanel.loadImage,0,0,0,0,0,0,0,0,0,2.2233126163535557
jmencode.SettingsForm.getmkvmergepathButtonActionPerformed,0,0,0,0,0,0,0,0,0,1.625
jmencode.MainGUI.outputfieldKeyReleased,0,0,0,0,0,0,0,0,0,0.0
jmencode.BitrateCalcForm.initComponents,0,0,0,0,0,0,0,0,0,3.028375301551387
jmencode.MainGUI.updateComponents,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.playmediaMenuItemActionPerformed,0,0,0,0,0,0,0,0,0,1.6950746110526995
jmencode.PreviewSetupForm.actionPerformed,0,0,0,0,0,0,0,0,0,0.999041976023396
jmencode.MainGUI.constantbitrateButtonActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.fileinputfieldActionPerformed,0,0,0,0,0,0,0,0,0,0.6108933566060855
jmencode.MainGUI.argsfieldActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.usevolGainCheckBoxActionPerformed,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.cropxSpinnerStateChanged,0,0,0,0,0,0,0,0,0,0.0
jmencode.SettingsForm.getmplayerpathButtonActionPerformed,0,0,0,0,0,0,0,0,0,1.625
jmencode.ImgPreviewPanel.mouseDragged,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.previewVideo,0,0,0,0,1,0,0,0,0,0.8779660555388326
jmencode.Settings.resetPaths,0,0,0,0,0,0,0,0,0,0.0
jmencode.MainGUI.quitMenuItemActionPerformed,1,0,0,0,0,0,0,0,0,0.0
jmencode.MuxerForm.finished,0,0,0,0,0,0,0,0,0,2.340745965712346
jmencode.MplayerController.slowButtonActionPerformed,1,1,0,0,0,0,0,0,0,0.62
