ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability,Lines
installer.JEditLauncherOSTask.getOSTasks,0,0,0,0,0,0,0,0,0,3.72,1
gnu.regexp.RETokenPOSIX.intValue,0,0,0,0,0,0,0,0,0,2.563333333333333,5
org.gjt.sp.jedit.browser.VFSBrowser.createMenuBar,0,0,0,0,0,0,0,0,0,1.5566666666666666,8
org.gjt.sp.jedit.syntax.Token.toString,0,0,0,0,0,0,0,0,0,2.529766051043048,1
bsh.Reflect.invokeOnMethod,0,0,0,0,0,0,0,0,0,1.0424132695474984,22
org.gjt.sp.jedit.gui.HistoryTextField.processKeyEvent,0,0,0,0,1,0,0,0,0,0.0,31
installer.TarOutputStream.setDebug,0,0,0,0,0,0,0,0,0,1.33,1
org.gjt.sp.jedit.options.BrowserColorsModel.moveUp,0,0,0,0,0,0,0,0,0,1.715,3
bsh.Parser.CastExpression,1,0,0,0,0,0,0,0,0,0.0,41
installer.CBZip2InputStream.setupNoRandPartA,0,0,0,0,0,0,0,0,0,0.7526158584076478,13
com.microstar.xml.XmlParser.parseDocument,0,0,0,0,0,0,0,0,0,0.0,8
org.gjt.sp.jedit.io.FileRootsVFS._listDirectory,0,0,0,0,0,0,0,0,0,0.7916666666666666,5
org.gjt.sp.jedit.MiscUtilities.getParentOfPath,0,0,0,0,0,0,0,0,0,4.41,1
bsh.Parser.jj_3R_218,0,0,0,0,0,0,0,0,0,0.0,9
org.gjt.sp.jedit.gui.DockableListHandler.getCachedDockableActionFlags,0,0,0,0,0,0,0,0,0,1.757346983053432,4
installer.CBZip2OutputStream.writeRun,0,0,0,0,0,0,0,0,0,0.7732309531222094,38
org.gjt.sp.jedit.help.HelpViewer.gotoURL,0,0,1,0,0,0,0,0,0,0.5939634404003495,38
org.gjt.sp.jedit.syntax.DisplayTokenHandler.createChunk,0,0,0,0,0,0,0,0,0,2.2760000000000002,1
org.objectweb.asm.CodeWriter.visitLabel,0,0,0,0,0,0,0,0,0,2.144119135284771,18
org.gjt.sp.util.WorkRequest.setProgressValue,0,0,0,0,0,0,0,0,0,3.225,2
bsh.BshMethod.getName,0,0,0,0,0,0,0,0,0,2.656823069344853,1
org.gjt.sp.jedit.Buffer.remove,0,0,0,0,0,0,0,0,0,2.6445544246788293,22
bsh.BSHMethodDeclaration.eval,0,0,0,0,0,0,0,0,0,1.4106761127777592,6
bsh.BshClassManager.classExists,0,0,0,0,0,0,0,0,0,3.5,1
org.gjt.sp.jedit.options.SyntaxHiliteOptionPane.createStyleTableScroller,0,0,0,0,0,0,0,0,0,1.8036468842339055,11
org.gjt.sp.jedit.options.BrowserOptionPane._save,0,0,0,0,0,0,0,0,0,0.0,9
org.gjt.sp.jedit.gui.SelectLineRange.createFieldPanel,0,0,0,0,0,0,0,0,0,2.8671255834956946,23
org.gjt.sp.jedit.gui.ResizeMouseHandler.mouseExited,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.textarea.ChunkCache.getBelowPosition,0,0,0,0,0,0,0,0,0,2.2162109023516794,8
bsh.ParserTokenManager.jjCheckNAdd,0,0,1,0,0,0,0,0,0,3.52,4
org.gjt.sp.jedit.textarea.ChunkCache.invalidateChunksFromPhys,0,0,0,0,0,0,0,0,0,2.098333333333333,8
installer.TarEntry.setGroupName,0,0,0,0,0,0,0,0,0,3.81,1
org.gjt.sp.jedit.search.SearchAndReplace._replace,0,0,0,0,0,0,0,0,0,2.9181831408071224,13
gnu.regexp.CharIndexedReader.isValid,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.textarea.JEditTextArea.getSelectionStartAndEnd,0,0,0,0,0,0,0,0,0,2.069770105769779,48
gnu.regexp.CharIndexedInputStream.isValid,0,0,0,0,0,0,0,0,0,0.0,1
bsh.CommandPathEntry.removeCommandPath,0,0,0,0,0,0,0,0,0,1.9877868512086896,8
bsh.Interpreter.invokeMain,0,0,0,0,0,0,0,0,0,1.0983333333333334,2
org.gjt.sp.jedit.pluginmgr.MirrorListHandler.charData,0,0,0,0,0,0,0,0,0,2.3939999999999997,8
org.gjt.sp.jedit.gui.Renderer.shorten,0,0,0,0,0,0,0,0,0,0.882,17
org.gjt.sp.jedit.gui.ToggleAction.getCode,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.textarea.ChunkCache.recalculateVisibleLines,0,0,0,0,0,0,0,0,0,1.943633577431861,9
org.gjt.sp.jedit.Macros.confirm,0,0,0,0,0,0,0,0,0,2.380927183649198,2
org.gjt.sp.jedit.browser.BrowserHandler.filesSelected,0,0,0,0,0,0,0,0,0,3.576849168696501,22
bsh.JThis.componentShown,0,0,0,0,0,0,0,0,0,0.0,1
bsh.Interpreter.get_jjtree,0,0,0,0,0,0,0,0,0,0.0,1
bsh.Types.castObject,0,0,0,0,0,0,0,0,0,2.029440426774777,3
org.gjt.sp.jedit.Recorder.append,0,0,0,0,0,0,0,0,0,1.0475431231173629,1
bsh.Reflect.resolveJavaMethod,0,0,0,0,0,0,0,0,0,0.9878564407219838,3
org.gjt.sp.jedit.browser.WorkThreadHandler.progressUpdate,0,0,0,0,0,0,0,0,0,4.465,0
org.gjt.sp.jedit.pluginmgr.PluginTableModel.isCellEditable,0,0,0,0,0,0,0,0,0,3.615908133235214,1
org.gjt.sp.jedit.search.CurrentBufferSet.getNextFile,0,0,0,0,0,0,0,0,0,3.81,3
org.gjt.sp.jedit.EditPane.actionPerformed,0,0,0,0,0,0,0,0,0,1.7986834418369224,1
gnu.regexp.RETokenChar.chain,0,0,0,0,0,0,0,0,0,0.8039999999999999,7
org.gjt.sp.jedit.textarea.ChunkCache.getScreenLineOfOffset,0,0,0,0,0,0,0,0,0,2.6007731650314407,32
org.gjt.sp.jedit.search.SearchAndReplace.handleError,0,0,0,0,0,0,0,0,0,0.0,6
com.microstar.xml.HandlerBase.endExternalEntity,0,0,0,0,0,0,0,0,0,2.665,0
org.gjt.sp.jedit.jEdit.getAction,0,0,0,0,0,0,0,0,0,3.5,1
org.gjt.sp.jedit.gui.ErrorListCellRenderer.paintComponent,0,0,0,0,0,0,0,0,0,0.0,7
org.gjt.sp.jedit.gui.HistoryModel.addItem,0,0,0,0,1,0,0,0,0,4.18,8
bsh.ParserTokenManager.jjMoveStringLiteralDfa3_0,0,0,0,0,0,0,0,0,0,2.580220852448074,55
bsh.BSHAmbiguousName.eval,0,0,0,0,0,0,0,0,0,1.835,1
org.gjt.sp.jedit.gui.ErrorListCellRenderer.getListCellRendererComponent,0,0,0,0,0,0,0,0,0,2.916388888888889,3
installer.TarOutputStream.writeEOFRecord,0,0,0,0,0,0,0,0,0,0.0,3
org.gjt.sp.jedit.textarea.ExtensionManager.removeExtension,0,0,0,0,0,0,0,0,0,0.0,6
org.gjt.sp.jedit.browser.VFSBrowser.updateFilterEnabled,0,0,0,0,0,0,0,0,0,3.2868972370706997,1
org.gjt.sp.jedit.ActionContext.getActionNames,0,0,0,1,0,0,0,0,0,0.0,7
bsh.CommandPathEntry.loadScriptedCommand,0,0,0,0,0,0,0,0,0,2.98710239075055,5
org.gjt.sp.jedit.browser.VFSBrowser.setShowHiddenFiles,0,0,0,0,0,0,0,0,0,2.3366666666666664,1
org.gjt.sp.jedit.textarea.PaintText.paintValidLine,0,0,0,0,0,0,0,0,0,2.5071428410286773,35
org.gjt.sp.jedit.View.processKeyEvent,0,0,0,0,1,0,0,0,0,2.0046289116791924,1
org.gjt.sp.jedit.textarea.JEditTextArea.setSelection,0,0,0,0,0,0,0,0,0,1.461270421280922,7
org.gjt.sp.jedit.textarea.JEditTextArea.invalidateSelectedLines,0,0,0,0,0,0,0,0,0,0.0,4
bsh.collection.CollectionIterator.next,0,0,0,0,0,0,0,0,0,0.0,1
bsh.Parser.UnaryExpression,2,0,0,0,1,0,0,0,0,0.0,29
org.gjt.sp.jedit.jEdit.main,2,2,0,0,1,0,0,0,0,2.5410418368997925,210
org.gjt.sp.jedit.options.ShortcutsModel.save,0,0,0,0,0,0,0,0,0,1.1300000000000001,4
org.gjt.sp.jedit.textarea.PaintWrapGuide.paintScreenLineRange,0,0,0,0,0,0,0,0,0,2.0772250912079655,4
org.gjt.sp.jedit.TokenList.fireTransactionComplete,0,0,0,0,0,0,0,0,0,0.431417597267593,6
org.gjt.sp.jedit.browser.BrowserIORequest.listDirectory,0,0,0,0,0,0,0,0,0,1.968301731237941,16
bsh.Parser.MethodDeclaration,1,0,0,0,0,0,0,0,0,0.4209373642051253,54
org.gjt.sp.jedit.EditPlugin.createOptionPanes,0,0,0,0,0,0,0,0,0,0.0,0
org.gjt.sp.jedit.search.SearchAndReplace.setAutoWrapAround,0,0,0,0,0,0,0,0,0,4.11,4
org.gjt.sp.jedit.browser.BrowserView.run,0,0,0,0,0,0,0,0,0,1.9633373021915688,4
org.gjt.sp.jedit.gui.Completion.hashCode,0,0,0,0,0,0,0,0,0,4.518829940840472,1
org.gjt.sp.jedit.View.goToBuffer,0,0,0,0,0,0,0,0,0,1.0978246137427607,13
org.gjt.sp.jedit.gui.Key.equals,0,0,0,0,0,0,0,0,0,1.3112382061099974,6
org.gjt.sp.util.CharIndexedSegment.charAt,0,0,0,0,0,0,0,0,0,3.43,3
org.gjt.sp.jedit.gui.DockableLayout.getLayoutAlignmentY,0,0,0,0,0,0,0,0,0,4.11,1
installer.WizardLayout.layoutContainer,0,0,0,0,0,0,0,0,0,3.148076703915583,14
org.gjt.sp.jedit.textarea.JEditTextArea.extendSelection,0,0,0,0,0,0,0,0,0,1.9649734646397603,1
gnu.regexp.RE.getAllMatches,0,0,0,0,0,0,0,0,0,2.273725664258682,1
org.gjt.sp.jedit.buffer.CompoundEdit.undo,0,0,0,0,0,0,0,0,0,1.64,5
org.gjt.sp.jedit.gui.DockableWindowManager.loadDockableWindows,0,1,0,0,0,0,0,0,0,2.2811348927120494,15
bsh.Variable.setValue,0,0,0,0,0,0,0,0,0,1.5870626276720512,11
macos.menu.ShowRecentMenu.menuSelected,0,0,0,0,0,0,0,0,0,0.0,1
bsh.NameSpace.setVariable,0,0,0,0,0,0,0,0,0,1.6755769994270766,1
org.gjt.sp.jedit.Abbrevs.setModeAbbrevs,0,0,0,1,0,0,0,0,0,0.0,2
org.gjt.sp.jedit.textarea.Rect.getEnd,0,0,0,0,0,0,0,0,0,3.6950000000000003,1
gnu.regexp.RE.getMinMax,0,0,0,0,0,0,0,0,0,1.9328775066546762,40
bsh.Name.toClass,0,0,0,0,0,0,0,0,0,0.5977211792754613,16
bsh.LHS.toString,0,0,0,0,0,0,0,0,0,2.1507987463766405,1
org.gjt.sp.jedit.WindowHandler.windowOpened,0,0,0,0,0,0,0,0,0,0.0,7
org.gjt.sp.jedit.buffer.RootElement.getElementIndex,0,0,0,0,0,0,0,0,0,2.75,1
org.gjt.sp.jedit.pluginmgr.Entry.getParentString,0,0,0,0,0,0,0,0,0,0.0,6
bsh.Parser.ArrayInitializer,1,0,0,0,0,0,0,0,0,0.0,46
org.gjt.sp.jedit.textarea.JEditTextArea.updateStructureHighlight,0,0,0,0,0,0,0,0,0,2.0469108618241254,15
org.objectweb.asm.CodeWriter.visitIincInsn,0,0,0,0,0,0,0,0,0,1.1442111263868184,10
org.gjt.sp.jedit.textarea.BufferChangeHandler.doDelayedUpdate,0,0,0,0,0,0,0,0,0,2.5304357184105357,19
org.gjt.sp.jedit.jEdit.getPluginJAR,0,0,0,0,0,0,0,0,0,3.1366666666666667,5
bsh.JavaCharStream.Done,0,0,0,0,0,0,0,0,0,0.5797040089349095,4
bsh.BSHMethodDeclaration.getReturnTypeDescriptor,0,0,0,0,0,0,0,0,0,2.4249176076735113,4
org.gjt.sp.jedit.Macro.recordTemporaryMacro,0,0,0,0,0,0,0,0,0,1.9735814567775793,13
macos.Delegate.openFile,0,0,0,0,0,0,0,0,0,2.273888888888889,8
bsh.Parser.jj_3R_108,0,0,0,0,0,0,0,0,0,0.0,6
bsh.BSHAssignment.operation,0,0,0,0,0,0,0,0,0,0.5985211290393674,14
bsh.Reflect.getObjectProperty,0,0,0,0,0,0,0,0,0,1.643926807641786,15
org.gjt.sp.jedit.textarea.JEditTextArea.addLeftOfScrollBar,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.syntax.Chunk.offsetToX,0,0,0,0,0,0,0,0,0,1.1888577639062896,10
org.gjt.sp.jedit.options.MouseOptionPane._init,0,0,0,0,0,0,0,0,0,0.4688009000144555,26
org.gjt.sp.jedit.textarea.TextAreaBorder.getBorderInsets,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.io.SendVFSUpdatesSafely.run,0,0,0,0,0,0,0,0,0,1.4013317412852888,6
bsh.JThis.menuKeyReleased,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.ActionListHandler.popElement,0,0,0,0,0,0,0,0,0,3.4495267092091297,1
org.gjt.sp.jedit.io.DirectoryEntryCompare.loadColors,0,0,0,0,0,0,0,0,0,2.6850232741544473,11
org.gjt.sp.jedit.textarea.JEditTextArea.invalidateScreenLineRange,0,0,0,0,0,0,0,0,0,1.5558063290048754,10
org.gjt.sp.util.WorkThreadPool.getNextAWTRequest,0,0,0,0,0,0,0,0,0,1.8098463668234135,7
org.gjt.sp.jedit.io.RootsEntry.getExtendedAttribute,0,0,0,0,0,0,0,0,0,3.5,4
com.microstar.xml.HandlerBase.error,0,0,0,0,0,0,0,0,0,3.90375,1
org.gjt.sp.jedit.textarea.JEditTextArea.selectFold,0,0,0,0,0,0,0,0,0,1.47625,1
bsh.ParserTokenManager.jjMoveNfa_0,0,0,0,0,0,0,0,0,0,1.5825163700855993,429
org.gjt.sp.util.WorkThreadPool.queueAWTRunner,0,0,0,0,0,0,0,0,0,1.31877976903429,4
org.gjt.sp.jedit.TextAreaTransferHandler.getSourceActions,0,0,0,0,0,0,0,0,0,0.0,1
org.gjt.sp.jedit.textarea.JEditTextArea.selectWord,0,0,0,0,0,0,0,0,0,2.968774980362179,8
org.gjt.sp.jedit.gui.DocumentHandler.insertUpdate,0,0,0,0,0,0,0,0,0,0.0,2
org.gjt.sp.jedit.textarea.PaintSelection.paintValidLine,0,0,0,0,0,0,0,0,0,1.9999022029227551,6
bsh.Parser.ConditionalExpression,1,0,0,0,1,0,0,0,0,0.0,34
bsh.Interpreter.getSourceFileInfo,0,0,0,0,0,0,0,0,0,1.8180458781543032,3
org.gjt.sp.jedit.PluginJAR.getPluginCache,0,0,0,0,0,0,0,0,0,3.3425420131015438,17
com.microstar.xml.XmlParser.setExternalDataEntity,0,0,0,0,0,0,0,0,0,0.8329790739256675,1
installer.TarHeader.getNameBytes,0,0,0,0,0,0,0,0,0,2.030730053364024,7
