ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
net.sourceforge.ganttproject.TaskManagerConfigImpl.getHumanResourceManager,0,0,0,0,0,0,0,0,0,2.814645074789132
net.sourceforge.ganttproject.ChartSelectionImpl.newScrollViewInteraction,0,0,0,0,0,0,0,0,0,0.0
org.jdesktop.swingx.XRootLayout.getStatusBar,0,0,0,0,0,0,0,0,0,2.3332748931017373
net.sourceforge.ganttproject.delay.Delay.Delay,0,0,0,0,0,0,0,0,0,3.08
org.jdesktop.swingx.Node.getParent,0,0,0,0,0,0,0,0,0,3.9617358724366283
org.jdesktop.swingx.decorator.PipelineEvent.toString,0,0,0,0,0,0,0,0,0,2.7535898417687394
org.jdesktop.swingx.Actions.setSortable,0,0,0,0,0,0,0,0,0,0.0
org.jdesktop.swingx.table.ColumnHeaderRenderer.getVerticalAlignment,0,0,0,0,0,0,0,0,0,2.955293284248762
net.sourceforge.ganttproject.task.algorithm.ShiftTaskTreeAlgorithm.run,0,0,0,0,0,0,0,0,0,3.2
org.jdesktop.swingx.event.MessageEvent.getMessage,0,0,0,0,0,0,0,0,0,0.6532270204124344
org.jdesktop.swingx.JXGraph.getMajorY,0,0,0,0,0,0,0,0,0,0.6457080851255494
org.jdesktop.swingx.plaf.macosx.MacOSXErrorPaneUI.getErrorDialog,0,0,0,0,0,0,0,0,0,1.89
net.sourceforge.ganttproject.GanttTaskRelationship.getPredecessorTask,0,0,0,0,0,0,0,0,0,2.3432179940751974
net.sourceforge.ganttproject.ResourceChartTabContentPanel.getComponent,0,0,0,0,0,0,0,0,0,3.1137274740870287
org.jdesktop.swingx.JXMonthView.setMonthStringInsets,0,0,0,0,0,0,0,0,0,0.8101759974794188
net.sourceforge.ganttproject.chart.ResourceLoadOption.ResourceLoadOption,0,0,0,0,0,0,0,0,0,3.064
net.sourceforge.ganttproject.task.TaskImpl.getThird,0,0,0,0,0,0,0,0,0,1.3676541133659386
org.jdesktop.swingx.calendar.DaySelectionModel.setUnselectableDates,0,0,0,0,0,0,0,0,0,0.0
org.jdesktop.swingx.decorator.SearchPredicate.test,0,0,0,0,0,0,0,0,0,2.950950312374635
org.jdesktop.swingx.MultiSplitLayout.getDividerSize,0,0,0,0,0,0,0,0,0,2.27756986064188
net.sourceforge.ganttproject.action.GPAction.createIcon,0,0,0,0,0,0,0,0,0,2.8676856543172113
