ClassAndMethodname,BAD_PRACTICE,I18N,PERFORMANCE,MALICIOUS_CODE,STYLE,MT_CORRECTNESS,CORRECTNESS,EXPERIMENTAL,SECURITY,Readability
net.datacrow.console.components.DcMultiLineToolTipUI.getHtmlText,0,0,0,0,0,0,0,0,0,1.8123500058648336
net.datacrow.console.windows.onlinesearch.OnlineServicePanel.setFocus,0,0,0,0,0,0,0,0,0,1.095191264359566
net.datacrow.console.components.renderers.DcListRenderer.getListCellRendererComponent,0,0,0,0,0,0,0,0,0,2.6517446633638326
net.datacrow.core.services.SearchTask.setServiceInfo,0,0,0,0,0,0,0,0,0,2.240993147357067
net.datacrow.util.freedb.FreedbReadResult.getTrackLengths,0,0,1,0,0,0,0,0,0,1.3382387804029188
net.datacrow.core.web.model.DcWebField.setType,0,0,0,0,0,0,0,0,0,3.3
net.datacrow.core.wf.requests.Requests.Requests,0,0,0,0,0,0,0,0,0,2.59
net.datacrow.settings.Settings.getDimension,0,0,0,0,0,0,0,0,0,4.89
net.datacrow.console.wizards.item.InternetWizardPanel.mouseClicked,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.util.StringUtils.toPlainText,0,0,0,0,0,0,0,0,0,1.894122518801523
net.datacrow.util.Utilities.isEmpty,0,0,0,0,0,0,0,0,0,1.715
net.datacrow.console.windows.resourceeditor.CreateLanguageDialog.actionPerformed,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.ComponentFactory.getLanguageCombobox,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.windows.ItemSynchronizerDialog.updateProgressBar,0,0,0,0,0,0,0,0,0,2.401466904192166
net.datacrow.core.wf.requests.UpdateStatusProgressBarRequest.UpdateStatusProgressBarRequest,0,0,0,0,0,0,0,0,0,3.2699999999999996
net.datacrow.core.wf.requests.ImageRequest.execute,1,0,0,0,0,0,0,0,0,1.3051875
net.datacrow.core.objects.DcObject.DcObject,0,0,0,0,0,0,0,0,0,0.9825
net.datacrow.core.Platform.isLinux,0,0,0,0,0,0,0,0,0,0.6528199321242552
net.datacrow.console.windows.settings.InformationPanel.setImage,0,0,0,0,0,0,0,0,0,3.8075
net.datacrow.core.objects.helpers.Container.loadChildren,0,0,0,0,0,0,0,0,0,0.8028173216917245
net.datacrow.filerenamer.FilePattern.getParts,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.core.modules.xml.XmlObject.getClass,0,0,0,0,0,0,0,0,0,1.931435544634605
net.datacrow.util.Hash.setHashType,0,0,0,0,0,0,0,0,0,2.4979032781626858
net.datacrow.core.resources.DcResources.getLanguages,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.lists.DcListUI.getMaxColumnsPerRow,0,0,0,0,0,0,0,0,0,2.2851713284276203
net.datacrow.console.components.DcFieldSelectorField.invertSelection,0,0,0,0,0,0,0,0,0,3.9495442415878674
net.datacrow.core.services.plugin.Empty_class.Non_in_method,0,0,0,0,0,0,0,0,0,3.0
net.datacrow.console.components.panels.QuickViewPanel.getChildTable,0,0,0,0,0,0,0,0,0,2.754493470156463
net.datacrow.console.windows.security.ModulePermissionPanel.setSelected,0,0,0,0,0,0,0,0,0,2.78442924861645
net.datacrow.core.services.SearchTask.getItems,0,0,0,0,0,0,0,0,0,2.8266666666666667
net.datacrow.core.objects.DcObject.isEndOfBatch,0,0,0,0,0,0,0,0,0,1.8861080869741413
net.datacrow.util.DcObjectCompositeComparator.DcObjectCompositeComparator,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.core.db.DatabaseManager.update,0,0,0,0,0,0,0,0,0,1.7936696782892032
net.datacrow.core.plugin.Plugin.getViewIdx,0,0,0,0,0,0,0,0,0,1.394426770890524
net.datacrow.enhancers.TitleRewriter.getWordList,0,0,0,0,0,0,0,0,0,3.3824147279755348
net.datacrow.console.windows.SelectExpienceLevelDialog.build,0,0,0,0,0,0,0,0,0,2.8622401599520533
net.datacrow.core.wf.requests.Requests.clear,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.core.settings.Setting.Setting,0,0,0,0,0,0,0,0,0,3.5271206179511343
net.datacrow.console.windows.settings.TableViewSettingsDialog.build,0,0,0,0,0,0,0,0,0,1.9588135800925512
net.datacrow.settings.definitions.DcFieldDefinitions.clear,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.core.objects.DcObject.reload,0,0,0,0,0,0,0,0,0,0.7225
net.datacrow.console.windows.onlinesearch.PollerTask.PollerTask,0,0,0,0,0,0,0,0,0,4.83
net.datacrow.console.components.DecimalDocument.insertString,0,0,0,0,0,0,0,0,0,0.9977640962192947
net.datacrow.core.web.model.DcWebModule.setIndex,0,0,0,0,0,0,0,0,0,3.43
net.datacrow.drivemanager.DriveManager.exclude,0,0,0,0,0,0,0,0,0,1.4166666666666667
net.datacrow.console.components.DcReferencesField.setEditable,0,0,0,0,0,0,0,0,0,0.6696229842483071
net.datacrow.console.views.View.loadChildren,0,0,0,0,0,0,0,0,0,2.2300980838325746
net.datacrow.console.windows.settings.CardViewPictureSettingsPanel.build,0,0,0,0,0,0,0,0,0,1.8793176512218785
net.datacrow.reporting.writer.XmlSchemaWriter.XmlSchemaWriter,0,0,0,0,0,0,0,0,0,3.77
net.datacrow.core.objects.DcField.isEnabled,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.ComponentFactory.getContactPersonCombo,0,0,0,0,0,0,0,0,0,4.135
net.datacrow.console.windows.onlinesearch.OnlineServicePanel.keyTyped,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.windows.MigrationDialog.initProgressBar,0,0,0,0,0,0,0,0,0,2.4435554710734815
net.datacrow.util.movie.FilePropertiesMPEG.getNextStartCode,0,0,0,0,1,0,0,0,0,2.4190057454664293
net.datacrow.core.objects.helpers.User.checkIntegrity,0,0,0,0,1,0,0,0,0,2.4299999999999997
net.datacrow.console.components.lists.elements.DcObjectListElement.getPanel,0,0,0,0,0,0,0,0,0,4.26
net.datacrow.console.wizards.module.PanelParentModule.PanelParentModule,0,0,0,0,0,0,0,0,0,4.43
net.datacrow.core.http.HttpConnectionUtil.getConnection,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.panels.tree.TreePanel.collapseAll,0,0,0,0,0,0,0,0,0,3.326478098077394
net.datacrow.console.components.panels.tree.FileTreePanel.createLeafs,0,0,1,0,0,0,0,0,0,2.2130800717978096
net.datacrow.core.modules.DcModule.getFilterForm,0,0,0,0,0,0,0,0,0,2.4563904571206105
net.datacrow.settings.Settings.getColor,0,0,0,0,0,0,0,0,0,4.89
net.datacrow.console.components.lists.elements.DcFilterEntryListElement.build,0,0,0,0,0,0,0,0,0,2.970825173811127
net.datacrow.console.ComponentFactory.getPersonDisplayFormatComboBox,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.windows.webserver.WebServerControlPanel.setMessage,0,0,0,0,0,0,0,0,0,0.42712372649066377
net.datacrow.console.components.DcFileField.showDirectoryOpenDialog,0,0,0,0,0,0,0,0,0,2.529552396987796
net.datacrow.core.db.QueryOptions.getPreciseSelect,0,0,0,0,0,0,0,0,0,1.321493307653702
net.datacrow.console.windows.onlinesearch.OnlineSearchForm.stop,0,0,0,0,0,0,0,0,0,1.8067943066142784
net.datacrow.core.modules.xml.XmlModule.hasSearchView,0,0,0,0,0,0,0,0,0,1.415355976092031
net.datacrow.console.components.panels.QuickViewPanel.mouseClicked,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.core.Platform.isMac,0,0,0,0,0,0,0,0,0,0.66567636101025
net.datacrow.console.wizards.module.CreateModuleWizard.next,0,0,0,0,0,0,0,0,0,2.73
net.datacrow.core.data.CacheJob.loadLoans,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.ComponentFactory.getIcon,0,0,0,0,0,0,0,0,0,3.3449999999999998
net.datacrow.core.modules.DcModule.getSetting,0,0,0,0,0,0,0,0,0,2.445
net.datacrow.console.components.lists.DcObjectList.updateItemAt,0,0,0,0,0,0,0,0,0,2.6939925821261057
net.datacrow.console.views.tasks.SaveTask.SaveTask,0,0,0,0,0,0,0,0,0,1.605
net.datacrow.settings.definitions.WebFieldDefinitions.get,0,0,0,0,0,0,0,0,0,2.13
net.datacrow.core.web.beans.ItemDetails.afterCreate,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.lists.DcListUI.convertRowToY,0,0,0,0,0,0,0,0,0,3.93
net.datacrow.console.windows.enhancers.AutoIncrementDialog.save,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.core.objects.DcTemplate.checkIntegrity,0,0,0,0,0,0,0,0,0,2.79
net.datacrow.core.web.model.DcWebObject.switchToPicTab,0,0,0,0,0,0,0,0,0,2.766159598160463
net.datacrow.core.objects.DcObject.unloadImages,0,0,0,0,0,0,0,0,0,4.52
net.datacrow.core.web.model.DcWebUser.setUsername,0,0,0,0,0,0,0,0,0,4.04
net.datacrow.core.ImageStore.exists,0,0,0,0,0,0,0,0,0,1.925
net.datacrow.console.windows.reporting.ReportingDialog.showResults,0,0,0,0,0,0,0,0,0,2.8116831176253347
net.datacrow.console.windows.drivemanager.DriveManagerDialog.actionPerformed,0,0,0,0,0,0,0,0,0,0.0
net.datacrow.console.components.tables.DcTable.DcTable,0,0,0,0,0,0,0,0,0,1.2200999532900096
net.datacrow.console.components.DcRatingComboBox.getValue,0,0,0,0,0,0,0,0,0,3.43
net.datacrow.console.components.panels.tree.TreePanel.setDefaultSelection,0,0,0,0,0,0,0,0,0,3.396573207319177
net.datacrow.filerenamer.FilePatternPart.setPrefix,0,0,0,0,0,0,0,0,0,3.31
net.datacrow.filerenamer.FilePattern.getField,0,0,0,0,0,0,0,0,0,2.796666666666667
net.datacrow.console.views.CachedChildView.removeChildren,0,0,0,0,0,0,0,0,0,2.4120493951245585
net.datacrow.console.windows.onlinesearch.OnlineSearchForm.addMessage,0,0,0,0,0,0,0,0,0,2.8773646921782903
net.datacrow.core.web.model.DcWebModule.getIcon16,0,0,0,0,0,0,0,0,0,3.326347337512813
net.datacrow.console.windows.resourceeditor.CreateLanguageDialog.save,0,0,0,0,0,0,0,0,0,1.1678009887189273
net.datacrow.console.components.panels.ModuleListPanel.buildPanel,0,0,0,0,0,0,0,0,0,3.4996189292414948
net.datacrow.util.freedb.Freedb.queryDiscId,0,0,0,0,0,0,0,0,0,2.3933333333333335
net.datacrow.console.components.fstree.FileSystemTreeNodeEditor.isCellEditable,0,0,0,0,0,0,0,0,0,2.69
net.datacrow.console.windows.ItemSynchronizerDialog.buildDialog,0,0,0,0,0,0,0,0,0,2.1758262137958857
net.datacrow.core.services.OnlineServices.getUI,0,0,0,0,0,0,0,0,0,1.8666666666666665
net.datacrow.console.components.lists.DcList.getFirstIndexOnLastVisibleRow,0,0,0,0,0,0,0,0,0,0.77
net.datacrow.console.components.FontStyle.FontStyle,0,0,0,0,0,0,0,0,0,3.249478218151185
net.datacrow.core.wf.requests.UpdateUserRequest.UpdateUserRequest,0,0,0,0,0,0,0,0,0,3.16
net.datacrow.console.components.panels.OnlineServiceSettingsPanel.build,0,0,0,0,0,0,0,0,0,2.2823697608014206
net.datacrow.core.data.DataFilterEntry.getAndOr,0,0,0,0,0,0,0,0,0,1.272263686676528
net.datacrow.core.modules.xml.XmlModule.getLabel,0,0,0,0,0,0,0,0,0,2.958274932575998
net.datacrow.console.components.tables.DcTable.getRowNumberWithID,0,0,0,0,0,0,0,0,0,1.195
net.datacrow.console.windows.messageboxes.SaveQuestionBox.close,0,0,0,0,0,0,0,0,0,3.4122800745944373
net.datacrow.console.components.fstree.FileSystemTreeNode.getName,0,0,0,0,0,0,0,0,0,3.63232176400047
net.datacrow.util.movie.FileProperties.setLanguage,0,0,0,0,0,0,0,0,0,2.35
net.datacrow.console.windows.BackupDialog.sendMessage,0,0,0,0,0,0,0,0,0,3.869304233318066
net.datacrow.settings.DcSettings.getDimension,0,0,0,0,0,0,0,0,0,3.1072247365903793
net.datacrow.console.components.DcImageLabel.getIcon,0,0,0,0,0,0,0,0,0,3.317282463434457
